state,StateCounty,LON,LAT
Alabama,Alabama Autauga,-86.6428,32.5349
Alabama,Alabama Baldwin,-87.7171,30.7278
Alabama,Alabama Barbour,-85.3932,31.8696
Alabama,Alabama Bibb,-87.1264,32.9986
Alabama,Alabama Blount,-86.5674,33.9809
Alabama,Alabama Bullock,-85.7161,32.1005
Alabama,Alabama Butler,-86.6803,31.7524
Alabama,Alabama Calhoun,-85.8261,33.7714
Alabama,Alabama Chambers,-85.392,32.9144
Alabama,Alabama Cherokee,-85.6038,34.176
Alabama,Alabama Chilton,-86.7188,32.8479
Alabama,Alabama Choctaw,-88.2628,32.0192
Alabama,Alabama Clarke,-87.8309,31.6709
Alabama,Alabama Clay,-85.8605,33.2691
Alabama,Alabama Cleburne,-85.5188,33.6745
Alabama,Alabama Coffee,-85.9882,31.4026
Alabama,Alabama Colbert,-87.8049,34.7004
Alabama,Alabama Conecuh,-86.9936,31.4293
Alabama,Alabama Coosa,-86.2476,32.9362
Alabama,Alabama Covington,-86.4512,31.2485
Alabama,Alabama Crenshaw,-86.3136,31.7315
Alabama,Alabama Cullman,-86.8676,34.132
Alabama,Alabama Dale,-85.611,31.4318
Alabama,Alabama Dallas,-87.1065,32.3258
Alabama,Alabama DeKalb,-85.8041,34.4598
Alabama,Alabama Elmore,-86.1492,32.5966
Alabama,Alabama Escambia,-87.1616,31.1262
Alabama,Alabama Etowah,-86.0348,34.0453
Alabama,Alabama Fayette,-87.7388,33.7212
Alabama,Alabama Franklin,-87.8438,34.4417
Alabama,Alabama Geneva,-85.839,31.095
Alabama,Alabama Greene,-87.9522,32.8531
Alabama,Alabama Hale,-87.6291,32.7627
Alabama,Alabama Henry,-85.2414,31.5147
Alabama,Alabama Houston,-85.3025,31.1532
Alabama,Alabama Jackson,-85.9993,34.7794
Alabama,Alabama Jefferson,-86.8965,33.5543
Alabama,Alabama Lamar,-88.0969,33.7792
Alabama,Alabama Lauderdale,-87.6543,34.9015
Alabama,Alabama Lawrence,-87.311,34.522
Alabama,Alabama Lee,-85.3556,32.6012
Alabama,Alabama Limestone,-86.9813,34.8101
Alabama,Alabama Lowndes,-86.6501,32.1548
Alabama,Alabama Macon,-85.6926,32.386
Alabama,Alabama Madison,-86.5502,34.7631
Alabama,Alabama Marengo,-87.7895,32.2476
Alabama,Alabama Marion,-87.8871,34.1366
Alabama,Alabama Marshall,-86.3066,34.3669
Alabama,Alabama Mobile,-88.2018,30.7943
Alabama,Alabama Monroe,-87.3658,31.5706
Alabama,Alabama Montgomery,-86.2076,32.2202
Alabama,Alabama Morgan,-86.8529,34.4535
Alabama,Alabama Perry,-87.2942,32.6385
Alabama,Alabama Pickens,-88.0887,33.2809
Alabama,Alabama Pike,-85.9409,31.8024
Alabama,Alabama Randolph,-85.4591,33.2938
Alabama,Alabama Russell,-85.1849,32.2884
Alabama,Alabama Shelby,-86.6607,33.2643
Alabama,Alabama St. Clair,-86.3147,33.7157
Alabama,Alabama Sumter,-88.1988,32.591
Alabama,Alabama Talladega,-86.1659,33.38
Alabama,Alabama Tallapoosa,-85.7975,32.8624
Alabama,Alabama Tuscaloosa,-87.525,33.2896
Alabama,Alabama Walker,-87.2973,33.8034
Alabama,Alabama Washington,-88.2071,31.4077
Alabama,Alabama Wilcox,-87.3082,31.9892
Alabama,Alabama Winston,-87.3737,34.1492
Alaska,Alaska Anchorage,-149.1067,61.1501
Alaska,Alaska Bethel Census Area,-159.7207,60.9126
Alaska,Alaska Fairbanks North Star Borough,-146.563,64.8084
Alaska,Alaska Juneau City and Borough,-134.1803,58.4596
Alaska,Alaska Kenai Peninsula Borough,-151.5667,60.2619
Alaska,Alaska Ketchikan Gateway Borough,-130.9276,55.5941
Alaska,Alaska Kodiak Island Borough,-153.8059,57.6779
Alaska,Alaska Matanuska-Susitna Borough,-149.5701,62.316
Alaska,Alaska Nome Census Area,-163.9674,64.8981
Alaska,Alaska Petersburg Borough,-133.2557,56.8226
Alaska,Alaska Prince of Wales-Hyder Census Area,-132.6964,55.5105
Alaska,Alaska Southeast Fairbanks Census Area,-143.2062,63.8771
Alaska,Alaska Yukon-Koyukuk Census Area,-151.3894,65.5095
Arizona,Arizona Apache,-109.4888,35.3957
Arizona,Arizona Cochise,-109.7511,31.8796
Arizona,Arizona Coconino,-111.7705,35.8387
Arizona,Arizona Gila,-110.8117,33.7997
Arizona,Arizona Graham,-109.8874,32.9327
Arizona,Arizona Greenlee,-109.2401,33.2153
Arizona,Arizona La Paz,-113.9813,33.7292
Arizona,Arizona Maricopa,-112.4912,33.3488
Arizona,Arizona Mohave,-113.7582,35.7044
Arizona,Arizona Navajo,-110.3214,35.3996
Arizona,Arizona Pima,-111.7899,32.0974
Arizona,Arizona Pinal,-111.3447,32.9043
Arizona,Arizona Santa Cruz,-110.8466,31.526
Arizona,Arizona Yavapai,-112.5538,34.5999
Arizona,Arizona Yuma,-113.9056,32.7694
Arkansas,Arkansas Arkansas,-91.3749,34.2908
Arkansas,Arkansas Ashley,-91.7679,33.1912
Arkansas,Arkansas Baxter,-92.337,36.2872
Arkansas,Arkansas Benton,-94.2573,36.3392
Arkansas,Arkansas Boone,-93.0915,36.3086
Arkansas,Arkansas Bradley,-92.1623,33.4659
Arkansas,Arkansas Calhoun,-92.5031,33.558
Arkansas,Arkansas Carroll,-93.5382,36.341
Arkansas,Arkansas Chicot,-91.294,33.2672
Arkansas,Arkansas Clark,-93.1764,34.051
Arkansas,Arkansas Clay,-90.4173,36.3685
Arkansas,Arkansas Cleburne,-92.0267,35.5381
Arkansas,Arkansas Cleveland,-92.1852,33.8983
Arkansas,Arkansas Columbia,-93.2274,33.2143
Arkansas,Arkansas Conway,-92.7014,35.2622
Arkansas,Arkansas Craighead,-90.6328,35.8308
Arkansas,Arkansas Crawford,-94.243,35.5889
Arkansas,Arkansas Crittenden,-90.3089,35.2079
Arkansas,Arkansas Cross,-90.7713,35.2958
Arkansas,Arkansas Dallas,-92.6545,33.9698
Arkansas,Arkansas Desha,-91.254,33.8333
Arkansas,Arkansas Drew,-91.72,33.5895
Arkansas,Arkansas Faulkner,-92.332,35.147
Arkansas,Arkansas Franklin,-93.8906,35.5123
Arkansas,Arkansas Fulton,-91.8183,36.3817
Arkansas,Arkansas Garland,-93.1504,34.5767
Arkansas,Arkansas Grant,-92.4236,34.29
Arkansas,Arkansas Greene,-90.5591,36.1177
Arkansas,Arkansas Hempstead,-93.6684,33.7354
Arkansas,Arkansas Hot Spring,-92.946,34.3177
Arkansas,Arkansas Howard,-93.9935,34.0887
Arkansas,Arkansas Independence,-91.5698,35.7415
Arkansas,Arkansas Izard,-91.9134,36.0949
Arkansas,Arkansas Jackson,-91.2146,35.5994
Arkansas,Arkansas Jefferson,-91.9315,34.2688
Arkansas,Arkansas Johnson,-93.4599,35.5701
